Cordinates,Unnamed: 1,TEHSIL,District,STATE,merged_column,clean_coords,lat,lon,label,Exposure
"32.6182915947, 75.933",,SAL@NI,CHAMBA,HIMACHAL PRADESH,,"32.6182915947, 75.933",32.6182915947,75.933,5,Highly Vulnerable
"31.5150027571, 77.4009",,ANI,KULLU,HIMACHAL PRADESH,,"31.5150027571, 77.4009",31.5150027571,77.4009,5,Highly Vulnerable
"76.8755, 31.3193521402",,NAMHOL,BILASPUR,HIMACHAL PRADESH,,"76.8755, 31.3193521402",76.8755,31.3193521402,5,Highly Vulnerable
"32.4804192791, 76.2832",,CHAMBA,CHAMBA,HIMACHAL PRADESH,,"32.4804192791, 76.2832",32.4804192791,76.2832,5,Highly Vulnerable
"32.5800134388, 75.9691",,DALHOUSIE,CHAMBA,HIMACHAL PRADESH,,"32.5800134388, 75.9691",32.5800134388,75.9691,5,Highly Vulnerable
"31.9489539907, 77.1083",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9489539907, 77.1083",31.9489539907,77.1083,5,Highly Vulnerable
,,BALH,MANDI,HIMACHAL PRADESH,"31.61081883, 76.8347","31.61081883, 76.8347",31.61081883,76.8347,5,Highly Vulnerable
"31.0454133829, 76.9664",,SOLAN,SOLAN,HIMACHAL PRADESH,,"31.0454133829, 76.9664",31.0454133829,76.9664,5,Highly Vulnerable
"31.5540055236, 76.3982",,BANG>NA,UNA,HIMACHAL PRADESH,,"31.5540055236, 76.3982",31.5540055236,76.3982,5,Highly Vulnerable
"31.1186831651, 76.9047",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.1186831651, 76.9047",31.1186831651,76.9047,5,Highly Vulnerable
"76.7678, 31.3663873883",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7678, 31.3663873883",76.7678,31.3663873883,5,Highly Vulnerable
"32.5758448097, 76.2446",,CHAMBA,CHAMBA,HIMACHAL PRADESH,,"32.5758448097, 76.2446",32.5758448097,76.2446,5,Highly Vulnerable
"32.1006057361, 76.2726",,KANGRA,KANGRA,HIMACHAL PRADESH,,"32.1006057361, 76.2726",32.1006057361,76.2726,5,Highly Vulnerable
"31.196552342, 76.6953",,NALAGARH,SOLAN,HIMACHAL PRADESH,,"31.196552342, 76.6953",31.196552342,76.6953,5,Highly Vulnerable
,,DHARAMPUR,MANDI,HIMACHAL PRADESH,"31.78594558, 76.799","31.78594558, 76.799",31.78594558,76.799,5,Highly Vulnerable
"32.3005260558, 76.0918",,SIHUNTA,CHAMBA,HIMACHAL PRADESH,,"32.3005260558, 76.0918",32.3005260558,76.0918,5,Highly Vulnerable
"32.4173819895, 77.2337",,LAHUL,LAHUL & SPITI,HIMACHAL PRADESH,,"32.4173819895, 77.2337",32.4173819895,77.2337,5,Highly Vulnerable
"32.0155190482, 77.1407",,KULLU,KULLU,HIMACHAL PRADESH,,"32.0155190482, 77.1407",32.0155190482,77.1407,5,Highly Vulnerable
"31.4776251508, 76.4832",,BARSAR,HAMIRPUR,HIMACHAL PRADESH,,"31.4776251508, 76.4832",31.4776251508,76.4832,5,Highly Vulnerable
"31.4534124001, 77.6346",,NERMAND,KULLU,HIMACHAL PRADESH,,"31.4534124001, 77.6346",31.4534124001,77.6346,5,Highly Vulnerable
"31.7000962175, 77.3788",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.7000962175, 77.3788",31.7000962175,77.3788,5,Highly Vulnerable
"31.1073025125, 77.1668",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.1073025125, 77.1668",31.1073025125,77.1668,5,Highly Vulnerable
"31.0863390177, 77.7723",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.0863390177, 77.7723",31.0863390177,77.7723,5,Highly Vulnerable
"31.4702867911, 76.4921",,BARSAR,HAMIRPUR,HIMACHAL PRADESH,,"31.4702867911, 76.4921",31.4702867911,76.4921,5,Highly Vulnerable
"31.4690810056, 77.7545",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4690810056, 77.7545",31.4690810056,77.7545,5,Highly Vulnerable
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.97424686, 76.7933","31.97424686, 76.7933",31.97424686,76.7933,5,Highly Vulnerable
"32.2320627013, 76.3058",,DHARMSHALA,KANGRA,HIMACHAL PRADESH,,"32.2320627013, 76.3058",32.2320627013,76.3058,5,Highly Vulnerable
,,SARKAGHAT,MANDI,HIMACHAL PRADESH,"31.63652623, 76.7889","31.63652623, 76.7889",31.63652623,76.7889,5,Highly Vulnerable
"76.7374, 31.45192303",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7374, 31.45192303",76.7374,31.45192303,5,Highly Vulnerable
"31.1040213178, 76.9495",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.1040213178, 76.9495",31.1040213178,76.9495,5,Highly Vulnerable
"31.9594442243, 77.1057",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9594442243, 77.1057",31.9594442243,77.1057,5,Highly Vulnerable
"31.0930441351, 77.1398",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0930441351, 77.1398",31.0930441351,77.1398,5,Highly Vulnerable
"31.9595393395, 77.1058",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9595393395, 77.1058",31.9595393395,77.1058,5,Highly Vulnerable
"32.210070326, 76.322",,DHARMSHALA,KANGRA,HIMACHAL PRADESH,,"32.210070326, 76.322",32.210070326,76.322,5,Highly Vulnerable
"31.9655056612, 77.1091",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9655056612, 77.1091",31.9655056612,77.1091,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.73472043, 76.9336","31.73472043, 76.9336",31.73472043,76.9336,5,Highly Vulnerable
"30.8894954843, 77.1044",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.8894954843, 77.1044",30.8894954843,77.1044,5,Highly Vulnerable
"31.1576176487, 77.6605",,ROHRU,SHIMLA,HIMACHAL PRADESH,,"31.1576176487, 77.6605",31.1576176487,77.6605,5,Highly Vulnerable
"31.0756940006, 77.0846",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0756940006, 77.0846",31.0756940006,77.0846,5,Highly Vulnerable
,,BALDWARA,MANDI,HIMACHAL PRADESH,"31.54473498, 76.8041","31.54473498, 76.8041",31.54473498,76.8041,5,Highly Vulnerable
"31.1053364322, 77.041",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"31.1053364322, 77.041",31.1053364322,77.041,5,Highly Vulnerable
"32.4799310724, 75.9122",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4799310724, 75.9122",32.4799310724,75.9122,5,Highly Vulnerable
"30.9636374751, 76.9157",,KRISHANGARH,SOLAN,HIMACHAL PRADESH,,"30.9636374751, 76.9157",30.9636374751,76.9157,5,Highly Vulnerable
"30.9411992751, 77.3781",,RANHOT,SIRMAUR,HIMACHAL PRADESH,,"30.9411992751, 77.3781",30.9411992751,77.3781,5,Highly Vulnerable
"32.1078103864, 76.6258",,PALAMPUR,KANGRA,HIMACHAL PRADESH,,"32.1078103864, 76.6258",32.1078103864,76.6258,5,Highly Vulnerable
"32.0683946334, 77.0955",,KULLU,KULLU,HIMACHAL PRADESH,,"32.0683946334, 77.0955",32.0683946334,77.0955,5,Highly Vulnerable
"32.5812645274, 76.1602",,CHAMBA,CHAMBA,HIMACHAL PRADESH,,"32.5812645274, 76.1602",32.5812645274,76.1602,5,Highly Vulnerable
"30.9988019614, 77.6879",,NERUA,SHIMLA,HIMACHAL PRADESH,,"30.9988019614, 77.6879",30.9988019614,77.6879,5,Highly Vulnerable
"31.6715413224, 77.331",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6715413224, 77.331",31.6715413224,77.331,5,Highly Vulnerable
"31.2101690776, 77.7743",,ROHRU,SHIMLA,HIMACHAL PRADESH,,"31.2101690776, 77.7743",31.2101690776,77.7743,5,Highly Vulnerable
"31.2469965016, 77.8361",,CHIRGAON,SHIMLA,HIMACHAL PRADESH,,"31.2469965016, 77.8361",31.2469965016,77.8361,5,Highly Vulnerable
"32.0200929382, 76.2101",,KANGRA,KANGRA,HIMACHAL PRADESH,,"32.0200929382, 76.2101",32.0200929382,76.2101,5,Highly Vulnerable
"30.7412090096, 77.3227",,NOHRA,SIRMAUR,HIMACHAL PRADESH,,"30.7412090096, 77.3227",30.7412090096,77.3227,5,Highly Vulnerable
"31.4860570627, 77.4493",,ANI,KULLU,HIMACHAL PRADESH,,"31.4860570627, 77.4493",31.4860570627,77.4493,5,Highly Vulnerable
"32.4687967816, 75.949",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4687967816, 75.949",32.4687967816,75.949,5,Highly Vulnerable
"30.8362190365, 76.9523",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8362190365, 76.9523",30.8362190365,76.9523,5,Highly Vulnerable
"31.2468524677, 77.8995",,CHIRGAON,SHIMLA,HIMACHAL PRADESH,,"31.2468524677, 77.8995",31.2468524677,77.8995,5,Highly Vulnerable
"32.5420209598, 76.1223",,CHAMBA,CHAMBA,HIMACHAL PRADESH,,"32.5420209598, 76.1223",32.5420209598,76.1223,5,Highly Vulnerable
"32.0678173133, 77.1071",,KULLU,KULLU,HIMACHAL PRADESH,,"32.0678173133, 77.1071",32.0678173133,77.1071,5,Highly Vulnerable
"31.101259114, 77.7667",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.101259114, 77.7667",31.101259114,77.7667,5,Highly Vulnerable
"32.2811706153, 76.1382",,SIHUNTA,CHAMBA,HIMACHAL PRADESH,,"32.2811706153, 76.1382",32.2811706153,76.1382,5,Highly Vulnerable
"30.9676030363, 77.614",,NERUA,SHIMLA,HIMACHAL PRADESH,,"30.9676030363, 77.614",30.9676030363,77.614,5,Highly Vulnerable
"30.5541694942, 77.2934",,NAHAN,SIRMAUR,HIMACHAL PRADESH,,"30.5541694942, 77.2934",30.5541694942,77.2934,5,Highly Vulnerable
,,SUNDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.52061316, 76.8844","31.52061316, 76.8844",31.52061316,76.8844,5,Highly Vulnerable
"30.8256767416, 76.9705",,KASAULI,SOLAN,HIMACHAL PRADESH,,"30.8256767416, 76.9705",30.8256767416,76.9705,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.6909505, 77.0366","31.6909505, 77.0366",31.6909505,77.0366,5,Highly Vulnerable
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"32.01857063, 76.776","32.01857063, 76.776",32.01857063,76.776,5,Highly Vulnerable
"76.7618, 31.442633483",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7618, 31.442633483",76.7618,31.442633483,5,Highly Vulnerable
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.9937609, 76.815","31.9937609, 76.815",31.9937609,76.815,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.73208562, 76.945","31.73208562, 76.945",31.73208562,76.945,5,Highly Vulnerable
"30.6936682218, 77.7261",,SHALAI,SIRMAUR,HIMACHAL PRADESH,,"30.6936682218, 77.7261",30.6936682218,77.7261,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.70409824, 76.9469","31.70409824, 76.9469",31.70409824,76.9469,5,Highly Vulnerable
"76.7677, 31.3406288741",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.7677, 31.3406288741",76.7677,31.3406288741,5,Highly Vulnerable
"31.12602162, 77.7087",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.12602162, 77.7087",31.12602162,77.7087,5,Highly Vulnerable
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.83302102, 76.9998","31.83302102, 76.9998",31.83302102,76.9998,5,Highly Vulnerable
"31.3613479999, 77.6587",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.3613479999, 77.6587",31.3613479999,77.6587,5,Highly Vulnerable
"32.479063864, 75.9124",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.479063864, 75.9124",32.479063864,75.9124,5,Highly Vulnerable
,,AUT,MANDI,HIMACHAL PRADESH,"31.77846361, 77.1889","31.77846361, 77.1889",31.77846361,77.1889,5,Highly Vulnerable
"32.137257369, 76.3151",,KANGRA,KANGRA,HIMACHAL PRADESH,,"32.137257369, 76.3151",32.137257369,76.3151,5,Highly Vulnerable
"76.7498, 31.4050540468",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7498, 31.4050540468",76.7498,31.4050540468,5,Highly Vulnerable
"31.3561445208, 77.6722",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.3561445208, 77.6722",31.3561445208,77.6722,5,Highly Vulnerable
"31.0440028552, 77.0661",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"31.0440028552, 77.0661",31.0440028552,77.0661,5,Highly Vulnerable
"32.4818518372, 75.9073",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4818518372, 75.9073",32.4818518372,75.9073,5,Highly Vulnerable
"31.4430733739, 77.7288",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4430733739, 77.7288",31.4430733739,77.7288,5,Highly Vulnerable
"31.8482422423, 77.1366",,BHUNTAR,KULLU,HIMACHAL PRADESH,,"31.8482422423, 77.1366",31.8482422423,77.1366,5,Highly Vulnerable
"31.8322210472, 76.3877",,KHUNDIAN,KANGRA,HIMACHAL PRADESH,,"31.8322210472, 76.3877",31.8322210472,76.3877,5,Highly Vulnerable
,,BALDWARA,MANDI,HIMACHAL PRADESH,"31.59596547, 76.821","31.59596547, 76.821",31.59596547,76.821,5,Highly Vulnerable
"31.6333997023, 77.309",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6333997023, 77.309",31.6333997023,77.309,5,Highly Vulnerable
"32.2137322902, 76.3681",,DHARMSHALA,KANGRA,HIMACHAL PRADESH,,"32.2137322902, 76.3681",32.2137322902,76.3681,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.77702239, 76.9832","31.77702239, 76.9832",31.77702239,76.9832,5,Highly Vulnerable
"32.0903227211, 76.2623",,KANGRA,KANGRA,HIMACHAL PRADESH,,"32.0903227211, 76.2623",32.0903227211,76.2623,5,Highly Vulnerable
"31.9710957495, 77.148",,KULLU,KULLU,HIMACHAL PRADESH,,"31.9710957495, 77.148",31.9710957495,77.148,5,Highly Vulnerable
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.96496131, 76.9044","31.96496131, 76.9044",31.96496131,76.9044,5,Highly Vulnerable
"31.3284338505, 77.5249",,KUMHARSAIN,SHIMLA,HIMACHAL PRADESH,,"31.3284338505, 77.5249",31.3284338505,77.5249,5,Highly Vulnerable
"30.9464982257, 77.0655",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.9464982257, 77.0655",30.9464982257,77.0655,5,Highly Vulnerable
"31.3516387134, 77.6092",,NANKHARI,SHIMLA,HIMACHAL PRADESH,,"31.3516387134, 77.6092",31.3516387134,77.6092,5,Highly Vulnerable
"31.033952516, 76.9823",,SOLAN,SOLAN,HIMACHAL PRADESH,,"31.033952516, 76.9823",31.033952516,76.9823,5,Highly Vulnerable
"32.4288859539, 76.0132",,BHATTIYAT,CHAMBA,HIMACHAL PRADESH,,"32.4288859539, 76.0132",32.4288859539,76.0132,5,Highly Vulnerable
"30.8249068909, 77.5774",,KUPVI,SHIMLA,HIMACHAL PRADESH,,"30.8249068909, 77.5774",30.8249068909,77.5774,5,Highly Vulnerable
"31.292243033, 77.8095",,CHIRGAON,SHIMLA,HIMACHAL PRADESH,,"31.292243033, 77.8095",31.292243033,77.8095,5,Highly Vulnerable
"31.1368420151, 76.764",,NALAGARH,SOLAN,HIMACHAL PRADESH,,"31.1368420151, 76.764",31.1368420151,76.764,5,Highly Vulnerable
,,JOGINDAR NAGAR,MANDI,HIMACHAL PRADESH,"31.885458, 76.8103","31.885458, 76.8103",31.885458,76.8103,5,Highly Vulnerable
"31.6390531163, 77.4035",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6390531163, 77.4035",31.6390531163,77.4035,5,Highly Vulnerable
"32.1005809095, 76.2724",,KANGRA,KANGRA,HIMACHAL PRADESH,,"32.1005809095, 76.2724",32.1005809095,76.2724,5,Highly Vulnerable
"31.499356487, 77.7239",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.499356487, 77.7239",31.499356487,77.7239,5,Highly Vulnerable
"31.5943913202, 77.3518",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.5943913202, 77.3518",31.5943913202,77.3518,5,Highly Vulnerable
"32.3276237263, 75.9064",,NURPUR,KANGRA,HIMACHAL PRADESH,,"32.3276237263, 75.9064",32.3276237263,75.9064,5,Highly Vulnerable
,,PADHAR,MANDI,HIMACHAL PRADESH,"31.90434325, 76.9604","31.90434325, 76.9604",31.90434325,76.9604,5,Highly Vulnerable
"31.5102973601, 77.3976",,ANI,KULLU,HIMACHAL PRADESH,,"31.5102973601, 77.3976",31.5102973601,77.3976,5,Highly Vulnerable
"31.0170190126, 76.8943",,KRISHANGARH,SOLAN,HIMACHAL PRADESH,,"31.0170190126, 76.8943",31.0170190126,76.8943,5,Highly Vulnerable
"31.1458610121, 77.7367",,JUBBAL,SHIMLA,HIMACHAL PRADESH,,"31.1458610121, 77.7367",31.1458610121,77.7367,5,Highly Vulnerable
,,BALH,MANDI,HIMACHAL PRADESH,"31.65344395, 76.9445","31.65344395, 76.9445",31.65344395,76.9445,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.70481063, 77.2043","31.70481063, 77.2043",31.70481063,77.2043,5,Highly Vulnerable
"76.8089, 31.3568726897",,BILASPUR,BILASPUR,HIMACHAL PRADESH,,"76.8089, 31.3568726897",76.8089,31.3568726897,5,Highly Vulnerable
"30.9055985208, 77.1033",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.9055985208, 77.1033",30.9055985208,77.1033,5,Highly Vulnerable
"31.138945718, 77.0856",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.138945718, 77.0856",31.138945718,77.0856,5,Highly Vulnerable
"32.0996685639, 76.2943",,KANGRA,KANGRA,HIMACHAL PRADESH,,"32.0996685639, 76.2943",32.0996685639,76.2943,5,Highly Vulnerable
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.71258909, 77.2416","31.71258909, 77.2416",31.71258909,77.2416,5,Highly Vulnerable
"31.5338229531, 76.5912",,DHATWAL,HAMIRPUR,HIMACHAL PRADESH,,"31.5338229531, 76.5912",31.5338229531,76.5912,5,Highly Vulnerable
"76.5408, 31.2888524251",,SHRI NAINA DEVI JI,BILASPUR,HIMACHAL PRADESH,,"76.5408, 31.2888524251",76.5408,31.2888524251,5,Highly Vulnerable
