lat,lon,District,TEHSIL,elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,landuse_type,ndvi,rainfall_7day,rainfall_15day,label,Exposure
31.5201264672,77.767,SHIMLA,RAMPUR,1349,29.111439,334.17902,37.0,60.250751927926395,1332.5174091178253,459.5552850267426,0,residential,0.38159204,23.856,52.159,2,At Risk
31.87647659,76.917,MANDI,PADHAR,1254,7.9188137,215.53767,16.0,71.46498916841219,507.1235332603354,1180.0612276422978,1,forest,0.1778676,31.966,69.861,2,At Risk
31.9165547487,77.1292,KULLU,BHUNTAR,1149,22.200483,213.69006,37.0,26.33095503360915,2118.970008286201,167.29475655766655,0,residential,0.34703946,21.894,47.828,2,At Risk
31.9656925976,77.1093,KULLU,KULLU,1290,23.983538,199.09349,31.0,85.31135156936182,283.5828648275909,227.0066273827571,30,residential,0.37945384,31.966,69.861,2,At Risk
31.0629296112,77.1786,SHIMLA,SHIMLA,1943,23.813988,81.57303,33.0,52.71428769758105,56.445932812553686,494.01620734503916,140,forest,0.23139377,28.054,61.396,2,At Risk
31.4875711457,77.6945,SHIMLA,RAMPUR,1189,18.834412,354.55966,22.0,7.538230638698995,87.55437136193407,260.25074597028015,2,forest,0.09966531,23.856,52.159,2,At Risk
31.71512842,76.9323,MANDI,BALICHAUKI,756,19.241732,256.6075,24.0,3.189934393576938,505.80383486368714,210.10524020096233,22,residential,0.3185531,31.966,69.861,2,At Risk
31.97596597,76.8379,MANDI,JOGINDAR NAGAR,1445,16.555872,157.61986,24.0,20.715847649870483,3132.969973251949,930.0082396422598,0,forest,0.3917404,31.966,69.861,2,At Risk
31.77141615,76.7369,MANDI,DHARAMPUR,807,15.54616,35.537678,22.0,82.69496151494911,2519.542308101406,509.9579124062717,0,residential,0.52637094,31.966,69.861,2,At Risk
31.5613945317,76.6031,HAMIRPUR,HAMIRPUR,833,4.622196,143.1301,8.0,10.225143328280684,899.0295231739944,2891.4755102627887,2,forest,0.41646573,33.13,72.516,2,At Risk
30.6047956268,77.6729,SIRMAUR,KAMRAU,1485,24.095581,220.60129,39.0,30.388056400511037,50.53541065089551,1159.6904549093092,4,residential,0.30529523,32.082,70.255,2,At Risk
32.2393452144,76.3254,KANGRA,DHARMSHALA,1762,14.091219,165.06859,22.0,18.04467857168219,20.804700866463477,110.98835425226359,591,commercial,0.2580327,34.019,74.359,2,At Risk
31.4544944326,77.6536,SHIMLA,RAMPUR,1012,23.599485,321.009,39.0,36.13298061814964,217.9675734139096,175.55624234890885,2,forest,0.623641,23.856,52.159,2,At Risk
31.1240240514,77.3378,SHIMLA,THEOG,2270,24.711647,108.43495,35.0,33.93105869794491,1236.7702701615945,843.6511662340963,0,forest,0.2624899,28.054,61.396,2,At Risk
31.5924052,76.7772,MANDI,BALDWARA,1088,24.358585,270.0,31.0,109.26741869766697,676.2499803337653,1215.414259211988,1,forest,0.36057916,32.704,71.527,2,At Risk
31.0272761109,77.3797,SHIMLA,THEOG,1308,21.243273,225.0,34.0,84.90059485165223,1079.2497365504594,418.9516497060956,1,residential,0.7068273,28.054,61.396,2,At Risk
31.75674949,76.8852,MANDI,KOTLI,1145,19.749327,305.83765,30.0,80.39871686002282,946.6898645283617,1443.6332942203333,1,forest,0.52762175,31.966,69.861,2,At Risk
31.6448160043,77.3445,KULLU,BANJAR,1339,19.87813,333.43494,28.0,14.284348506866685,845.9132712814542,138.8889294210261,2,residential,0.09042173,21.894,47.828,2,At Risk
31.3685910718,77.5411,SHIMLA,RAMPUR,861,29.274902,303.23172,43.0,13.963100944984538,2132.537267387282,49.63524502943645,0,residential,0.48582473,23.856,52.159,2,At Risk
32.2505758659,77.1903,KULLU,MANALI,1919,22.403688,258.69006,29.0,25.41535480161254,35.20555121628269,67.85691441601574,243,residential,0.40050754,18.923,41.302,2,At Risk
32.0344776865,77.1278,KULLU,KULLU,1382,10.445859,37.874985,21.0,25.692247684770887,69.49744295064485,392.02206066045557,684,orchard,0.07980187,21.894,47.828,2,At Risk
31.9288217219,77.1142,KULLU,KULLU,1253,31.62144,76.32869,39.0,51.831375652128486,1087.9768742004537,465.2235790052785,0,forest,0.27939835,31.966,69.861,2,At Risk
31.99281759,76.8045,MANDI,JOGINDAR NAGAR,1267,11.699005,231.3402,17.0,6.364462265111644,362.5719331156895,333.3223310033237,5,industrial,0.4168859,31.966,69.861,2,At Risk
32.0838567559,76.5233,KANGRA,PALAMPUR,1127,9.92074,123.69007,15.0,1.395086602275532,929.1161247195889,154.98039846622876,2,forest,0.60733145,35.083,76.743,2,At Risk
31.7097304,77.1912,MANDI,AUT,967,21.623505,191.7683,31.0,41.31797835999382,748.5713598658191,181.26296351663458,1,residential,0.27858064,21.894,47.828,2,At Risk
31.370150704,77.5428,SHIMLA,RAMPUR,882,11.018079,311.63354,15.0,18.089597940430806,2033.575096982945,110.70656919291194,0,residential,0.09350177,23.856,52.159,2,At Risk
31.80019696,76.7609,MANDI,DHARAMPUR,646,10.247347,333.43494,14.0,75.29671830995223,373.9618476355939,137.94362731589064,1,residential,0.5167665,31.966,69.861,2,At Risk
31.0651205682,77.1702,SHIMLA,SHIMLA,1728,31.119936,172.30396,46.0,45.311528247772934,601.9007798917451,778.6974916088583,29,forest,0.59014726,28.054,61.396,2,At Risk
31.1036959769,77.6503,SHIMLA,JUBBAL,2287,25.889963,119.981636,40.0,10.181494161146937,1241.457064444549,418.028746213059,0,residential,0.71079135,28.054,61.396,2,At Risk
31.2998007812,77.4503,SHIMLA,KUMHARSAIN,1867,24.095581,49.398705,41.0,23.589308507544942,1982.4735882063046,1231.6582003082806,0,forest,0.7792047,23.856,52.159,2,At Risk
31.70406067,76.9279,MANDI,BALICHAUKI,785,28.38737,321.07245,38.0,0.3363507814282151,327.15962956223535,166.14544533685466,24,residential,0.1503017,31.966,69.861,2,At Risk
31.096425211,77.4066,SHIMLA,THEOG,1392,35.098526,203.0255,55.0,1.9263259883714832,435.20756738964445,193.75475678557817,1,forest,0.39350182,28.054,61.396,2,At Risk
31.1044956586,77.7729,SHIMLA,JUBBAL,1387,19.69378,341.56506,26.0,47.35702467247195,1703.6075949149194,4.7307003101331935,0,forest,0.8088154,28.054,61.396,2,At Risk
31.2220809374,76.9531,SOLAN,ARKI,1607,19.60074,272.60257,25.0,30.291538067619626,1796.5989829215735,1678.5026007174924,0,forest,0.5483244,32.704,71.527,2,At Risk
31.81914173,76.9405,MANDI,PADHAR,1149,23.527338,254.93152,30.0,109.17873602731076,481.15747048399345,1085.6754683569259,1,forest,0.43786296,31.966,69.861,2,At Risk
32.5602550236,76.128,CHAMBA,CHAMBA,954,18.834412,328.57043,34.0,45.67252618152508,312.8433939174157,196.60121161335505,11,residential,0.26509675,34.019,74.359,2,At Risk
31.1032051054,77.7898,SHIMLA,JUBBAL,1694,25.877468,270.0,31.0,256.4285158465491,1710.3738056615803,126.25433667609549,0,forest,0.57711834,28.054,61.396,2,At Risk
31.78316133,76.9379,MANDI,BALICHAUKI,1008,28.29054,147.26477,44.0,19.279368930788486,2979.757342803554,1199.2333302305835,0,forest,0.32222506,31.966,69.861,2,At Risk
31.81974266,76.7693,MANDI,DHARAMPUR,707,17.3429,68.7495,25.0,100.23288267899697,2054.7085631818336,281.3177251107321,0,forest,0.4416723,31.966,69.861,2,At Risk
31.7115789176,76.6283,HAMIRPUR,BAMSAN,1108,14.640096,201.8014,19.0,9.032645757630126,2611.6354007473715,851.7130011171133,0,forest,0.37424374,31.966,69.861,2,At Risk
31.2897577985,76.9268,SOLAN,ARKI,1096,41.87629,129.14398,81.0,17.269291535085344,2630.3629144447555,556.4733770279591,0,nature_reserve,0.36936936,32.704,71.527,2,At Risk
30.8345190625,76.9853,SOLAN,KASAULI,882,21.343374,155.55605,31.0,61.791753611351965,1569.7435410923954,241.4134105128077,0,forest,0.43240973,32.197,70.464,2,At Risk
31.94904511,76.7944,MANDI,JOGINDAR NAGAR,940,27.686129,123.69007,37.0,13.610989621341037,710.8228003244028,335.0286788165846,1,forest,0.55157954,31.966,69.861,2,At Risk
32.0028289167,76.1567,KANGRA,DERA GOPIPUR,470,9.094237,225.0,15.0,50.74938671026002,482.4465180497286,198.38233321246378,1,forest,0.22093959,35.083,76.743,2,At Risk
30.9422483964,76.8818,SOLAN,BADDI,831,17.166954,276.009,22.0,81.38313792869478,3272.4075496346186,1371.0978838530136,0,forest,0.32078135,32.197,70.464,2,At Risk
31.1189036431,77.706,SHIMLA,JUBBAL,1748,28.810978,1.6846843,35.0,15.23863688458906,3921.3093544689414,115.3399411125487,0,forest,0.5089793,28.054,61.396,2,At Risk
30.8971000207,77.0146,SOLAN,KASAULI,1480,15.0623455,237.26477,23.0,11.769941239737465,41.51665934899064,2248.181125838116,62,forest,-0.0029591636,32.197,70.464,2,At Risk
31.122831853,77.3564,SHIMLA,THEOG,2285,12.942599,39.289406,19.0,19.754789955860353,517.4806641079052,990.8287058187248,1,residential,0.14103433,28.054,61.396,2,At Risk
31.9223955397,77.1261,KULLU,BHUNTAR,1161,13.126848,236.30994,21.0,43.01868858677107,2256.764712476023,127.66980977351439,0,residential,0.5456459,21.894,47.828,2,At Risk
32.47901426,77.1279,LAHUL & SPITI,LAHUL,3057,14.747,227.48955,17.0,37.02071137263217,0.0,271.68401064033753,127,farmland,0.06639711,18.923,41.302,2,At Risk
31.6648797362,77.3322,KULLU,BANJAR,1496,26.150166,162.75854,34.0,272.0894033709932,2912.730564744215,216.41473513726822,0,forest,0.6985755,21.894,47.828,2,At Risk
31.1640576007,77.0229,SOLAN,ARKI,1469,7.1977015,230.19443,16.0,31.502996416234836,475.78705403933003,470.8067467850021,1,forest,0.32303303,32.704,71.527,2,At Risk
30.8979890974,77.0897,SOLAN,SOLAN,1512,18.91288,109.29005,22.0,62.997299403960355,173.43215269346098,760.7599933008544,8,forest,0.42572063,32.197,70.464,2,At Risk
31.577123904,77.3606,KULLU,BANJAR,1953,9.3637085,258.69006,17.0,17.974679848223367,555.6813480295842,46.11531570732505,3,forest,0.28632706,23.856,52.159,2,At Risk
32.0450255306,77.1281,KULLU,KULLU,1357,11.018079,131.63354,18.0,40.39914832120535,1212.0684549950017,546.0926308749565,0,residential,0.36304277,21.894,47.828,2,At Risk
